ext_name,ext_publisher,verified,repository
Git: Add Remote,sam_schneller,False,
vscode-perfect-dark-color-theme,Richard Marks,False,
C# to Typescript code generator helper for VS Code by CHI,chiadem,False,
Task Master,ianhoney,False,
perl-syntax,Jack Karamanian,False,
ionic2-snippets,uqutub,False,
vscode,pz,False,
RAML,Jeppe Andersen,False,
SQLTools Cassandra,Jordan Hury,False,
CSV to Markdown Table Converter,Marchiore,False,
VSCode LCOV,alexdima,True,
Codewind Java Profiler,IBM,True,
k8s,kubernetes-tools,False,
video,kangping,False,
JavaScriptSnippets,Temir,False,
PHP Extension Pack,Gerard Reches,False,
data file support,okirshen,False,
8051,junwatu,False,
Run Cypress,Corey Light,False,
Git Merge Navigator,Apsis Labs,False,
vueHelper,jane,False,
wechat .dat file viewer,zhiyong-lizy,False,
webOS TV,webOS TV SDK,False,
Ionic Basic Pack,Wiliam Buzatto,False,
Exec Cmd,Hatzel Rentería,False,
Railgun Theme,be5invis,False,
cpp-symbols,Mirko,False,
ActionScript3,yopsolo,False,
Perforce,Venkatesh Boddu,False,
Scratchpad,awesomektvn,False,
Toothpaste,Aalaap Ghag,False,
so,smark,False,
Alibaba Cloud Toolkit,Alibaba Cloud,False,
Cortex-Debug: Device Support Pack - STM32F1,marus25,False,
PHP Lightweight Toolbox,Ulisses Caon,False,
Enki Theme,Dorell James Galang,False,
abaqus,JP,False,
Clicknium,Clicknium,True,
Copy Relative Path and Line Numbers,ezforo,False,
Prettier-Standard - JavaScript formatter,iSayme,False,
docker-builder,Delgee,False,
makeRunner,alexnesnes,False,
QML Syntax/Tools,Felgo,False,
python-live-testing,sGeeK,False,
CoffeeScript Formatter,prplx,False,
MQL Extension Pack,nicholishen,False,
Design Editor,tizenweb,False,
vscode-terraform0.12,dhdersch,False,
html-eco,th7org,False,
dark,wkaa,False,
Material Darker Theme,jantto,False,
Flow,jlabedo,False,
Phind.com - Code faster with AI.,phind,False,
Vue3 Snippets,zhanan,False,
jedi,jedi,False,
Wildberry Theme,Joseph Bayer,False,
Vue Pack,lauren,False,
Love2d Snippets,pixelwar,False,
code-translate,Yeon,False,
Cppcheck Plug-in,NathanJ,False,
Magento 2 Extension Pack,Jerry Lopez,False,
JFlex,Mathias Weber,False,
Math,Jomy,False,
Cobalt2 Theme,kamranmackey,False,
OneDrive Browser,Microsoft,True,
Keras 2.4.0 Snippets,Maleeha Khalid,False,
Qt-Assistant,旋旋,False,
GraalVM Tools for Micronaut,Oracle Labs,True,
androidify,arahulc91,False,
AutoSaveExt,oonsnnsk,False,
code-flutter-snippets,MeePwn,False,
Palenight,mdixon18,False,
Codalyze - Code Complexity Report Generator,Selçuk Usta,False,
Uno Platform,Uno Platform,True,
Grepper,Grepper,False,
Laravel Documentation Inspired Theme,Wilbur Powery,False,
Git Essentials,s2junn,False,
Pytheme,python theme color,False,
synapse-execute,nexure,False,
Neon Genesis Theme,NeonGenesisX,False,
Ansys APDL,Emlin,False,
StackFinder,mark-fobert,False,
Xsl Snippet Creator,chuck94,False,
guid,Borodenko Alexey,False,
Tensorbox,Tensorbox,True,
Open In Web,VCaveman,False,
decode,ttfree,False,
Image Essentials,s2junn,False,
vue-definition,wangcunji,False,
BYOND DM Language Support,gbasood,False,
TAUrine,tizenweb,False,
Cacher - Code Snippets,Cacher,False,
Micro Focus Enterprise,OpenText (previously Micro Focus),True,
Fortify Extension for Visual Studio Code,Fortify,False,
formatter,ziyuye,False,
vscode-capnp,xmonader,False,
DVT IDE for Visual Studio Code,AMIQ EDA s.r.l.,True,
Glacier,Kal,False,
SAP HANA Database Explorer,SAP SE,True,
Jupyter-QTConsole,Andreas Klausen,False,
Ctrl-Semicolon,Gforcedev,False,
PROLOG language,AlanizPalomeraMiguelAngel,False,
Neon Color - Dark Theme,Md. Maruf Sarker,False,
Cucumber Quick,ghosha,False,
JS Snnipets,Gajesh Panigrahi,False,
ChatGPT 4 Unit Test Generator,Shree Ruparel,False,
Git: Pull - Remote/Branch Specified,sam_schneller,False,
VHDL for Professionals,ViDE-Software,False,
React Toolbox Snippets,alechp,False,
ASM Comment Aligner,ipid,False,
cjsx,crisward,False,
lua-indent,rinqu-eu,False,
ZwLisp,Zwsoft,False,
VSCode STM32Cube Configurator,Samuel Travnicek,False,
Auto Import for Javascript,Thong Dong,False,
NAPA Macro Support,NAPA,False,
vscode-hexo,codeyu,False,
Autoflake - Remove unused Python imports,Trung Ngo,False,
Kali Terminal Dark,Kevin Norman,False,
ExplainDev AI - Answer Great Questions about Code,ExplainDev,True,
CSS Semicolon Fix,Danny1461,False,
CUP,Mathias Weber,False,
batch format,zhaofinger,False,
Antidote - VS Code,Druide informatique inc.,False,
cs-syntax-visualizer,itn3000,False,
📜林檎的旅行笔记,linqin,False,
Wokwi Simulator,Wokwi,True,
APICloud,KAI,False,
Backbone JS snippets,Ioana Apetrei,False,
Xcode Midnight theme,arc0re,False,
Selected Character Count,Sara Itani,False,
D Language utility extension pack,WebFreak,False,
gulp-run,yodoeyang,False,
Dark Dark,kai ye,False,
Sakura Garden At Night,Esan Ansari,False,
Unity Docs,Tegas,False,
Lark grammar syntax support,dirk-thomas,False,
Linux Cheatsheet,Gabriel Dos Santos,False,
Hap Extension,hap,False,
DhiWise - Manage all your application code from DhiWise to VS Code,DhiWise,False,
py-snippets,py-snippets,False,
Core Essentials for Developer,s2junn,False,
Yao-Translate,Yao-Translate,False,
flutter-img-sync,Lihaha,False,
VSCode Essentials,s2junn,False,
JumpProtobuf,Mark,False,
Save Code,thiscodeworks,False,
Tizen Web,tizenweb,False,
Markdown Essentials,s2junn,False,
jquery-components For Highlighter,fanqunxing,False,
Fivem code snippet,D7y,False,
SQL analyzer tool for SAP HANA,SAP SE,True,
Console Wrapper,fabio damasceno,False,
Hide Stream,Seneca Manu,False,
JSIRDebugger,muji,False,
Gtags,sailsxu,False,
Noctis,koteus,False,
fisher,standup,False,
PAWN Language,Chase,False,
Opacc F-Script Debug,Opacc Software AG,False,
Repository,BranchCreation SLU,False,
C master,Roncho,False,
Material Ocean Next Theme +,Thiago Gomes,False,
uwsc,nalulabo,False,
Simple HTML Template,Le Khoi-Phong,False,
start-git,polunzh,False,
 MS-DOS Theme,hfac,False,
Dracula-Dark-Vibrant,Mayank-Shekhar,False,
Hacker X Theme,Hasibur R,False,
lua nginx snippets,jiejie,False,
vue-template,dasdingo,False,
armsnippet,Art of Shell,False,
devServer,ihuke,False,
Predawn Twilight,Nikos Kornarakis,False,
Tempo Time Tracking,Tempo,True,
HL7,Page Brooks,False,
Markdown helper,Joshua Baxter,False,
Material Theme Pack,Jérémie Broutier,False,
Git: Common Commands Suite,sam_schneller,False,
Antmove 小程序转换器（微信转支付宝）,antmove-app,False,
vscode-ginkgo,onsi,False,
coq,ruoz,False,
React Pack,lauren,False,
Ayu Next,Roman,False,
SCC Config Highlight,be5invis,False,
Ballerina,WSO2,True,
theme-seti,Adan G. Galvan Gonzalez,False,
cppcheckcmd,ron zhong,False,
Antlr4-Syntax,ncthbrt,False,
Generate Method Stubs for Golang Interfaces,Ricardo Erikson,False,
jinja2,侯寓升,False,
Terminal Status Bar,Thomas Karachristos,False,
LaTeX Songs,webartoli,False,
rSTViewr,Abdul-Hakeem Shaibu,False,
GeoJSON Snippets,Analytic Signal Limited,True,
FE Explorer,lwdgit,False,
QuickSnippet: Custom Snippets,Sara Itani,False,
just html preview,just-preview,False,
MaxScript,AndrewMcWhae,False,
LimfxCodeEx,Alice,False,
FunctionList,HungVo,False,
logcat-color,Raid Xu,False,
Encryptor,Rush Frisby,False,
db syntax,陆建康,False,
Japanesque Theme,jszk,False,
YS ASP Net Core Dev Pack,Youssef Sellami,False,
Spring Boot Gradle Extension Pack,Kabir Sarkar,False,
lldb-debugger-args-escape-tool,CS128,False,
PHP Block Comment,imoca,False,
AutoClose Find,Ty Gooch,False,
COBOL Themes,BitLang,True,
VSCode LSL,VRT Labs,False,
Dayle Rees Themes,dobbbri,False,
ReadNovel,DaHuaZhuXi,False,
ASP VBscript,mf,False,
Copilot for software testing - GoCodeo AI,GoCodeo,True,
vscode-prettydiff,HexcodeTechnologies,False,
json to type,danielDing,False,
WDL Syntax Highlighter,Broad Institute,False,
WhiteSource Advise,WhiteSource,False,
Fania Icons,Fania Ra,False,
Angular Component File Cycler,fordesoft,False,
InstantView®,ClassiX Software GmbH,False,
One Dark Italic Theme,Emilio Jeldes,False,
html-untagged,kuhe,False,
angular-2-snippets,aravind.fz,False,
custom-xml-formatter,thoughtsdump,False,
Monokai_light,Ethan Sugar,False,
Codewind Node.js Profiler,IBM,True,
Translator X,codexu,False,
PHP Refactor Tool,Son Tung PHAM,False,
Serenji,George James Software,True,
Massimo-theme,Massimo Betacchini,False,
Matrix Theme,Zaryab Ali,False,
Hg - Mercurial,Jake Coltman,False,
Sam Monokai Dark,Sam Yao,False,
Cisco Edge Intelligence,Cisco,False,
ZenScript Syntax Highlighting,Indexyz,False,
codecpp-minimum,doddzycodes,False,
Code4z,Broadcom,True,
Getter Setter and Constructor Generator for PHP,Jesiel Rocha Lofhagen,False,
Python pack,Vedula Venkata Adithya,False,
