iter	Passed	Remaining
669	27966	13774
670	27994	13726
671	28031	13681
672	28057	13632
673	28087	13585
674	28119	13539
675	28150	13492
676	28180	13444
677	28207	13396
678	28236	13349
679	28267	13302
680	28309	13261
681	28338	13213
682	28371	13168
683	28401	13121
684	28432	13074
685	28468	13030
686	28495	12982
687	28521	12934
688	28557	12890
689	28583	12841
690	28612	12794
691	28643	12749
692	28669	12700
693	28699	12654
694	28727	12607
695	28754	12559
696	28780	12511
697	28806	12463
698	28832	12415
699	28861	12369
700	28888	12322
701	28923	12278
702	28952	12231
703	28980	12184
704	29005	12137
705	29034	12090
706	29064	12045
707	29105	12003
708	29133	11957
709	29162	11911
710	29190	11864
711	29220	11819
712	29249	11773
713	29286	11731
714	29325	11689
715	29354	11643
716	29392	11601
717	29422	11555
718	29451	11510
719	29481	11464
720	29510	11419
721	29544	11375
722	29569	11328
723	29598	11283
724	29625	11237
725	29650	11190
726	29679	11145
727	29706	11099
728	29746	11057
729	29771	11011
730	29799	10966
731	29830	10921
732	29862	10877
733	29888	10831
734	29915	10786
735	29944	10740
736	29971	10695
737	29997	10649
738	30026	10604
739	30055	10560
740	30084	10515
741	30116	10471
742	30160	10432
743	30188	10387
744	30217	10342
745	30246	10298
746	30286	10257
747	30318	10214
748	30350	10171
749	30380	10126
750	30409	10082
751	30438	10038
752	30464	9993
753	30494	9949
754	30521	9904
755	30546	9858
756	30581	9816
757	30608	9772
758	30634	9727
759	30682	9689
760	30733	9652
761	30764	9608
762	30791	9564
763	30816	9519
764	30843	9474
765	30869	9429
766	30894	9385
767	30923	9341
768	30951	9297
769	30986	9255
770	31016	9212
771	31043	9168
772	31074	9125
773	31105	9082
774	31138	9040
775	31166	8996
776	31199	8954
777	31247	8916
778	31344	8892
779	31447	8869
780	31482	8828
781	31513	8784
782	31543	8741
783	31575	8699
784	31606	8656
785	31635	8613
786	31662	8569
787	31693	8526
788	31723	8483
789	31751	8440
790	31781	8397
791	31810	8354
792	31842	8311
793	31874	8269
794	31900	8225
795	31926	8182
796	31954	8139
797	31981	8095
798	32009	8052
799	32047	8011
800	32083	7970
801	32126	7931
802	32175	7893
803	32227	7856
804	32307	7825
805	32372	7791
806	32446	7759
807	32494	7721
808	32528	7679
809	32560	7637
810	32604	7598
811	32661	7562
812	32698	7521
813	32738	7480
814	32785	7442
815	32848	7406
816	32898	7368
817	32927	7326
818	32963	7284
819	33010	7246
820	33042	7204
821	33073	7161
822	33108	7120
823	33160	7082
824	33215	7045
825	33265	7007
826	33346	6975
827	33411	6940
828	33465	6902
829	33499	6861
830	33531	6819
831	33566	6777
832	33595	6735
833	33624	6692
834	33656	6650
835	33689	6608
836	33716	6566
837	33745	6523
838	33772	6480
839	33800	6438
840	33828	6395
841	33864	6354
842	33910	6315
843	33948	6274
844	33979	6232
845	34009	6190
846	34041	6149
847	34106	6113
848	34139	6071
849	34181	6032
850	34223	5992
851	34266	5952
852	34342	5918
853	34379	5877
854	34410	5835
855	34440	5793
856	34470	5751
857	34498	5709
858	34533	5668
859	34563	5626
860	34593	5584
861	34623	5542
862	34648	5500
863	34682	5459
864	34740	5421
865	34777	5381
866	34809	5339
867	34839	5298
868	34871	5256
869	34898	5214
870	34926	5172
871	34960	5131
872	35023	5095
873	35091	5058
874	35154	5022
875	35207	4983
876	35240	4942
877	35270	4900
878	35312	4861
879	35342	4819
880	35366	4777
881	35404	4736
882	35431	4694
883	35478	4655
884	35523	4616
885	35557	4575
886	35585	4533
887	35613	4491
888	35647	4450
889	35693	4411
890	35723	4370
891	35752	4328
892	35779	4287
893	35839	4249
894	35877	4209
895	35929	4170
896	35961	4129
897	35994	4088
898	36024	4047
899	36055	4006
900	36082	3964
901	36108	3923
902	36135	3881
903	36161	3840
904	36190	3798
905	36218	3757
906	36254	3717
907	36293	3677
908	36324	3636
909	36353	3595
910	36396	3555
911	36457	3517
912	36487	3476
913	36513	3435
914	36541	3394
915	36568	3353
916	36596	3312
917	36626	3271
918	36655	3230
919	36687	3190
920	36722	3149
921	36761	3109
922	36809	3070
923	36858	3031
924	36896	2991
925	36950	2952
926	37002	2913
927	37037	2873
928	37068	2832
929	37096	2792
930	37134	2752
931	37162	2711
932	37190	2670
933	37221	2630
934	37247	2589
935	37286	2549
936	37316	2509
937	37342	2468
938	37391	2429
939	37438	2389
940	37481	2350
941	37521	2310
942	37557	2270
943	37588	2229
944	37617	2189
945	37643	2148
946	37677	2108
947	37726	2069
948	37779	2030
949	37812	1990
950	37842	1949
951	37871	1909
952	37914	1869
953	37945	1829
954	38002	1790
955	38034	1750
956	38074	1710
957	38105	1670
958	38138	1630
959	38167	1590
960	38196	1550
961	38225	1509
962	38253	1469
963	38289	1429
964	38319	1389
965	38344	1349
966	38372	1309
967	38399	1269
968	38431	1229
969	38457	1189
970	38484	1149
971	38510	1109
972	38538	1069
973	38567	1029
974	38593	989
975	38621	949
976	38648	909
977	38674	869
978	38702	830
979	38731	790
980	38758	750
981	38785	710
982	38813	671
983	38848	631
984	38873	591
985	38903	552
986	38935	512
987	38966	473
988	38999	433
989	39027	394
990	39056	354
991	39087	315
992	39118	275
993	39148	236
994	39178	196
995	39205	157
996	39234	118
997	39265	78
998	39305	39
999	39331	0
